Wie heißt der zeithöchste Berg der Welt?;K2;Nanga Parbat;Mount Everest;Aconcagua;4
"Das Korallenriff ""Great Barrier Reef"" liegt vor der Küste?";Australiens;Afrikas;Mexikos;Indiens;4
Wie heißt die berühmte Tempelanlage im Nordwesten von Kambodscha?;Angkor Wat;Machu Picchu;Chichèn Itza;Himalaya;4
An welchem südafrikanischen Kap treffen sich Atlantik und Indischer Ozean?;Kap Agulhas;Kap Arkona;Kap Adare;Kap Anamur;4
Im Zentrum welcher Stadt liegt der Trafalgar Square?;London;New York;Los Angeles;Sydney;4
Wo in Berlin steht das Brandenburger Tor?;Pariser Platz;Friedrich-Wilhelm-Platz;Alexander Platz;Bahnhofsplatz;4
Wie heißt die Hauptstadt von Südafrika?;Pretoria;Nairobi;Windhoek;Gaborone;4
Wie heißt die Hauptstadt der Mongolei?;Ulan Bator;Daressalam;Mogadischu;Djakarta;4
Was haben die Landesflaggen von Japan und Bangla Desh gemeinsam?;den roten Kreis;die grüne Hintergrundfarbe;die weisse Hintergrundfarbe;den weissen Kreis;4
Welches Gebäude übernahm 2009 den 1. Platz als höchstes Gebäude der Welt?;Burdj Chalifa;Taipeh 101;Willis Tower;CN Tower;4
Welches Wahrzeichen in Barcelona ist schon seit 120 Jahren eine eindrucksvolle Baustelle?;Sagrada Familia;Barri Gòtic;Casa Milà;La Boqueria;4
Wie heißt die größte Insel Deutschlands?;Rügen;Poel;Sylt;Amrum;4
"In welcher Stadt kann man die ""Spanische Treppe"" bewundern?";Rom;Athen;Istanbul;Madrid;4
Welche italienische Stadt liegt am Fuße des Vulkanes Vesuv?;Neapel;Mailand;Palermo;Florenz;4
"Wo kann man auf dem ""Piazza San Marco"" spazieren gehen?";Venedig;Florenz;Rom;Mailand;4
Wie lang ist die Gesamtstrecke der Transsibirischen Eisenbahn?;9288km;6918km;7856km;8523km;4
In welcher Stadt befindet sich die größte Stierkampfarena der Welt?;Mexiko-Stadt;Madrid;Palermo;Sevilla;4
Wie heißen die bekanntesten Steilklippen Irlands?;Cliffs of Moher;Cliffs Burton;Cliffs Richard;Montogmery Cliffs;4
"Die ""Goldene Stadt"" ist...?";Prag;Bukarest;Budapest;Wien;4
In welchem US-Staat liegt der Yosemite-Nationalpark?;Kalifornien;Utah;Nevada;Arizona;4
In welchem Land bezahlt man mit Złoty?;Polen;Kasachstan;Tschechien;Ukraine;4
Wenn man durch das Stadtviertel Fatih schlendert befindet man sich in...?;Istanbul;Rio de Janeiro;New-Delhi;Kairo;4
Pamukkale ist eine der größten Sehenswürdigkeiten in...?;der Türkei;Marokko;Tunesien;Griechenland;4
"In welcher Stadt ist das ""Männeken Pis"" eines der Wahrzeichen?";Brüssel;Paris;Amsterdam; Brügge;4
Wie lautet der Spitzname der Stadt New York?;Big Apple;Big Liberty;Big Peach;Big City;4
"Bei welcher indischen Stadt befindet sich das berühmte Grabmal ""Taj Mahal""?";Agra;New-Dehli;Mumbai;Madras;4
Langeland ist Teil der sogenannten ...?;Dänischen Südsee;Finnischen Bodden;Schwedischen Südsee;Dänischen Nordsee;4
Welches ist das bevölkerungreichstes Land der Erde?;China;USA;Indien;Indonesien;4
In welchem US-Bundesstaat liegt Los Angeles?;Kalifornien;New Jersey;Utah;Florida;4
Welcher Fluss fließt durch Florenz?;Arno;Tiber;Po;Busento;4
In welchem Monat beginnt auf der Südhalbkugel der Erde der Frühling?;September;Juli;Dezember;März;4
Wo befindet sich das Riff Valley - ein riesiger Riss in der Erdkruste?;Kenia;Venezuela;Australien;Mexiko;4
Wie heißt der höchste Berg Ozeaniens mit 5030 m Höhe?;Puncak Jaya;Vogelkopf;Glenmore Hill;Mount Snowdon;4
"Wo ist die Region der ""Ramsau""?";Österreich;Bayern;Baden-Würtenberg;Schweiz;4
Welcher Entfernung entspricht eine internationale nautische Seemeile?;1852 km;1453 km;1652 km;2052 km;4
Die Altstadt von Salzburg in Österreich wird von drei Bergen umgeben. Welcher der folgenden Berge begrenzt sie nicht?;Hohensalzberg;Mönchsberg;Festungsberg;Kapuzinerberg;4
Welcher dieser US-Bundesstaaten liegt nicht an der Ostküste?;Washington; New Jersey; Maine; Florida;4
Die Meerenge zwischen Alaska und Sibiren heißt?;Beringstraße;Perlenweg;Ärmelkanal;Manellanstraße;4
"Welcher Fluss wird durch den ""Hoover Damm"" gestaut?";Colorado;Ohio;Mississippi;Missouri;4
"In welchem Land befindet sich der Zwergstaat ""San Marino""?";Italien;Spanien;Portugal;Frankreich;4
"In welchen Fluss fließt die ""Mur""?";Drau;Rhein;Main;Donau;4
Murano ist ein Stadtteil welcher italienischen Großstadt?;Venedig;Mailand;Rom;Florenz;4
"Die historische Provinz ""Murcia"" ist in welchem Land?";Spanien;Peru;Mexico;Brasilien;4
Welches dieser Länder liegt nicht auf dem gleichen Breitengrad wie die anderen drei?;Afghanistan;Pakistan;Assam;Indien;4
"In welchem Land ist das ""Sagrosgebirge""?";Iran;Irak;Armenien;Afghanistan;4
"Wo ist das vulkanische Bergland des ""Ahaggar""?";Sahara;Negev;Gobi;Kalahari;4
Zu welchem französischen Departement gehört die Stadt Saint-Etienne?;Loire;Rhone;Seine;Garonne;4
Wie hoch ist die New Yorker Freiheitsstatue inklusive Sockel?;93m;126m;89m;111m;4
Welche Insel wurde als Mondinsel bezeichnet?;Madagaskar;Mallorca;Grönland;Sri Lanka;4
Welches ist die zweitgrößte Insel der Erde?;Neuguinea;Grönland;Sumatra;Madagaskar;4
