Wie alt ist unser Universum?;13,8 Mrd. Jahre;80 Mrd. Jahre;8,7 Mio. Jahre;1,3 Mrd. Jahre;5
Was waren die Steinzeitmenschen?;Jäger und Sammler;Händler;Philosophen;Techniker;5
Was wurde in der Steinzeit entdeckt?;Feuer;Computer;Alphabet;Bücher;5
Wie wurden Philosophen noch bezeichnet?;Freunde der Weisheit;Freunde der Tiere;Freunde der Natur;Feinde der Bücher;5
Welcher war ein berühmter Philosoph?;Aristoteles;Alexander der Große;Idefix;Thor;5
Wer war der Göttervater im Olymp?;Zeus;Hades;Herakles;Asterix;5
Wer war die Göttin der Schönheit?;Aphrodite;Artemis;Hestia;Hera;5
Wen befragten die Griechen zur Entscheidungsfindung?;Orakel von Delphi;Orakel von Athen;Hohe Priester;Adel;5
Wer hatte kein politisches Mitspracherecht bei den Griechen?;Männer unter 20 Jahren;Männer über 70 Jahren;Priester;Arme Leute;5
Wie viel Buchstaben umfasst das griechische Alphabet heute?;24;26;30;19;5
Was ist eine Monarchie?;Herrschaft der Könige;Herrschaft der Adeligen;Herrschaft eines Tyrannen;Herrschaft des Volkes;5
Was waren bedeutende Merkmale antiker Bauwerke?;Seulen;Wandmalereien;Vasen;Große Tore;5
Wie hieß der bedeutende makedonische König?;Alexander der Große;Philipp der Achtsame;Alexander der Friedvolle;Julius Caesar;5
Was führten die Griechen ein?;Olympischen Spiele;Pferderennen;Champions League;Riesentorlauf;5
Was bekam der Sieger der Olympischen Spiele?;Lorberkranz;Alkohol;Werbeverträge;Sklaven;5
Wie lange dauert die Regierungszeit eines Bundespräsidenten in Österreich?;2 Perioden;5 Perioden;7 Jahre;50 Tage;5
Wie hieß das Pferd von Alexander dem Großen?;Bukephalos;Serafina;Zeus;Sokrates;5
Wer war der Lehrer von Alexander dem Großen?;Sokrates;Archimedes;Herkules;Harka;5
Wie heißt der berühmte Mathematiker dessen Formeln die heutigen Schüler noch immer verwenden?;Pythagoras;Obelix;Cournot;Miraculix;5
Wie heißt die berühmte Königin Ägyptens?;Kleopatra;Hera;Hestia;Roxane;5
Wie heißt die Ehefrau von Alexander dem Großen?;Roxane;Rox;Cersei;Sansa;5
Welches Land hatte die meisten Zivilopfer im zweiten Weltkrieg?;Sowjetunion;China;Amerika;Polen;5
Wie hieß die Frau von Heinrich VIII.?;Anna von Kleve;Claudia;Marie;Judith;5
Was fordern Bürger und Bauern bei Versammlungen?;gleichberechtigtes Mitsprache- und Wahlrecht;Anerkennung;Geld;mehr Land;5
Wer krönte sich selbst zum Kaiser Frankreichs?;Napoleon Bonaparte;Franziskus;Scherrer Depardieu;Renault;5
Ein bekannter Diktator?;Adolf Hitler;Nestroy;Bernhardt;Alexander;5
Ein Konzentrationslager?;Auschwitz;Birken-Allee;Augsburg;Brandenburg;5
Wo war der bis jetzt schlimmste Atomkraftwerkunfall auf der Welt?;Tschernobyl;Fukushima;Hiroshima;Nagasaki;5
In welchem Erdzeitalter leben wir?;Känozoikum;Paläozoikum;Mesozoikum;Präkambrium;5
Wann war der Mauerfall in Deutschland?;1989;1930;1998;1929;5
Wie hieß die Wand die Deutschland durchtrennte?;Berliner Mauer;Deutsche Wand;Hitler Sperre;Ausenseiterabgrenzung;5
Wann war der Baubeginn der Berliner Mauer?;1961;1916;1936;1963;5
Auf wen ist das Scherbengericht zurückzuführen?;Kleisthenes;Sokrates;Aristoteles;Barbarossa;5
Auf welcher Insel wurde Napoleon verbrannt?;Elba;Creta;Rab;Java;5
Aus welcher Stadt stammt Kolumbus?;Genua;Lesbos;Cres;Karibik;5
Vorgänger der Jungsteinzeit?;Altsteinzeit;Bronzezeit;Metallzeit;Silverzeit;5
Wo war die Oktoberrevolution?;Russland;Tschechien;Norwegen;Indien;5
Wann war die Oktoberrevolution?;1917;1971;1970;1890;5
Was kam nach der Jungsteinzeit?;Bronzezeit;Silberzeit;Jagdzeit;Goldene Zeit;5
Was war das größte Germanenvolk?;Goten;Wikinger;Iren;Griechen;5
Für welches Land unternahm Kolumbus seine Reisen?;Spanien;Italien;Frankreich;Barcelona;5
Was ist kennzeichnend für die Jungsteinzeit?;Sesshaftwerdung;Auswanderungen;Schlägereien;Handel;5
Folge des Prager Fenstersturzes?;30jähriger Krieg;Versöhnung;Auswanderungen;weniger Handel;5
Wann war die Reichskristallnacht?;09.11.1938;10.12.1938;19.06.1937;15.07.1997;5
Wo fand die Novemberrevolution statt?;Deutschen Reich;Frankreich;Norwegen;Niederlande;5
Wer waren die Welfen?;deutsches Fürstengeschlecht;Monarchen;Adelige;Französiches Heer;5
Wie lang war die innerdeutsche Grenze?;1378 km;1340 km;1200 km;1300 km;5
Vorname der ersten Frau von Napoleon?;Josephine;Viktoria;Maria;Linda;5
Stammvater aller späteren Habsburger?;Rudolf 1.;Franziskus 2.;Saruman;Hibernikus 5.;5
Welcher Entdecker dachte er sei in Indien gewesen, was aber nicht so war?;Christoph Kolumbus;Harry Potter;Adam Sandler;Dietrich von Bern;5
