Das simple Tischtennisspiel "Pong" war das erste kommerziell erfolgreiche Videospiel der Welt. Wann kam es auf den Markt?;1972;1980;1965;1975
Ein kleiner grüner Panzer kämpft gegen eine Übermacht pixeliger Raumschiffe. Wie hieß der Weltraum-Shooter der ersten Stunde?;Space Invaders;Starship Troopers;Star Wars;Star Trek
Balkenmikado: "Tetris" begeisterte Millionen auf der ganzen Welt. Doch aus welchem Land kam das Spiel?;Sowjetunion;Japan;USA;Deutschland
Welche Firma hat World of Warcraft erfunden?;Blizzar;Free-Play;Ubisoft;EA
Für welches Spiel steht die Abkürzung "CS"?;Counter-Strike;Crash-Shock;Century-Simplity;Computer Shot
Aus welcher Spiele-Serie erschien im Jahr 2006 das Spiel "...Double Agent"?;Splinter Cell; Quake; Halo; Fifa
Durch welche Person wird in "Alan Wake" das Böse dargestellt?;Barbara Jagger;Sandra Unger;Michelle Barteau;Jeff Strongman
In welchem Jahr spielt das Spiel "Red Dead Redemption"?;1911;1915;1903;1895
In welcher Spiele-Serie ist "Master Chief" die Hauptfigur?;Halo;Splinter Cell;Driver;Call of Duty
In welcher Spiele-Serie kommt der Charakter "Heihachi" vor?;Tekken;Mortal Combat;Dead or Alive;Street Fighter
Was erscheint, wenn man einen zusätzlichen Lebenspilz bei Super Mario Bros. nimmt?;1up;+1;Life up;Extra Life
Was haben die Spiele "Wolfenstein 3D", "Quake" und "Hexen" gemeinsam?;Ego-Shooter;Rollenspiele;Sportspiele;Strategiespiele
Was ist ein "Landstalker" im Spiel GTA IV?;SUV;Limousine;Sportwagen;Motorrad
Was war der ursprüngliche Name von "Super Mario" beim Arcade Spiel "Donkey Kong" aus dem Jahr 1981?;Jumpman;Der Klemptner;Italian;Jumper
Welche Art von Spiel ist "Jazz Jackrabbit", das im Jahr 1994 von Epic Games veröffentlicht wurde?;Jump'n'Run;Shooter;Sport;Fantasy
Welche Beschreibung trifft auf das Spiel "Crackdown" zu?;Open World;Single Player only;erstes Computerspiel überhaupt;über 1Mio. mal verkauft
Welche Farben hat Super Marios Bruder Luigi auf seiner Kleidung?;Grün und Blau;Rot und Blau;Gelb und Blau;Blau und Schwarz
Welche Firma entwickelte "Diablo 3"?;Blizzar;EA;Ubisoft;Bungee
Welches der folgenden ist KEIN Kampfspiel?;Civilization;Tekken;Dead or Alive;Mortal Combat
Welches der folgenden Spiele erhielt viel Kritik, weil es sehr gewaltsam und unwirklich war?;Soldier of Fortune;Halo;Tekken;Mortal Combat
Welche der folgenden Begriffe beschreibt die Art des Spiels "World of Warcraft"?;MMORPG;Ego-Shooter;Jump'n'Run;Strategie
Welche Waffe verwendet Gordon Freeman in der Half-Life-Serie am häufigsten im Nahkampf?;Brecheisen;Axt;Messer;Schraubschlüssel
Welcher Buchstabe steht auf Marios Brust, wenn er in "Super Mario Bros. 3" unbegrenzt fliegen kann?;P;S;M;E
Welches Rennspiel für die PlayStation 3 wurde weltweit im Dezember 2013 veröffentlicht?;Gran Turismo 6;Gran Turismo 5;Racing Top Level 1;Need for Speed 4
Welches Spiel-Unternehmen steckt hinter den Spielen der "Killzone-Serie"?;Guerilla Games;Rocksteady;Konami;Valve
Wie hieß das NES-Spiel, in dem man selbstmörderische Lemminge durch ein Tor hindurch retten sollte?;Lemmings;Worms;Klax;Pokemon
Wie hoch war das Preisgeld für das erstplazierte Team des Dota 2 Turnieres "The International 2013"?;1437190$;999999$;888888$;2078400$
Wofür steht die Abkürzung "CoD" im Videospiel-Zusammenhang?;Call of Duty;Crazy Drill;Creep on Doom;Cannons on Damaskus
Was ist der Ingame Name des legendären Counter Strike Spielers Patrik Lindberg?;f0rest;shox;GuardiaN;Get_Right 
Wo fand das erste Counter Strike Major Turnier statt, bei welchem 1Mio $ Preisgeld ausgeschüttet wurden?;Columbus;Köln;Malmö;Cluj
