Welche dieser Sporarten ist keine Kampfsportart?;Futsal;Kendo;Luta Livre;Savate;1
Welches Gewicht hat ein Basketball?;600-650g;100-150g;900-950g;300-350g;1
Wie nennt man den Lederball, mit Größe eines Handballs, der Boxern als Trainingsgerät dient?;Maisbirne;Linsenbirne;Erbsenbirne;Bohnenbirne;1
Wie viele Ringe hat das olympische Zeichen?;5;3;7;6;1
Welche Schutzkleidung ist bei Profi-Boxern im Kampf nicht vorgeschrieben?;Kopfschutz;Boxhandschuhe;Mundschutz;Tiefschutz;1
Wie viele Seile werden um die Boxkampfstätte gespannt?;3 oder 4;  oder 2;5 oder 6;Keine;1
Wann wurde der Formel 1-Pilot Alberto Ascari das erste Mal mit Ferrari Weltmeister?;1952;1949;1951;1950;1
Von wem kann ein Boxkampf u. a. entschieden werden?;Punktrichter;Sekundant;Trainer;Publikum;1
Wie viele Weltrekorde wurden bei den olympischen Sommerspielen in China erzielt?;32;15;37;42;1
In welcher Gewichtsklasse kämpft ein Amateur-Boxer mit bis zu 60 Kg?;Leichtgewicht;Halbweltergewicht;Federgewicht;Weltergewicht;1
Wer war Gastgeber der 1. Fußball-Weltmeisterschaft?;Uruguay;England;Italien;Brasilien;1
Weil er einen Sturz Armstrongs nicht zum Angriff ausgenutzt hatte, erhielt Jan Ullrich 2003... ?;die Fair-Play-Plakette;ein vergoldetes Fahrrad;Sportler der Nation;das gelbe Trikot;1
In welcher Gewichtsklasse kämpft ein Berufs-Boxer mit bis zu 79,378 Kg?;Halbschwergewicht;Leichtschwergewicht;Schwergewicht;Halbweltergewicht;1
Ab wann wurde bei Olympia die goldene statt der silbernen Siegermedaille eingeführt?;1904;1900;1928;1912;1
Welche alpine Skiläuferin siegte als 1. bei 6 Weltcuprennen in Folge?;Katja Seizinger;Lindsay Vonn;Michaele Dorfmeister;Niki Hosp;1
"Welcher Skiläufer war als ""La Bomba"" bekannt?";Alberto Tomba;Paolo Tomba;Giuseppe Tomba;Antonio Tomba;1
Wie oft wurde Niki Lauda Weltmeister in der Formel 1?;3mal;1mal;2mal;4mal;1
Welche Tennisspielerin holte sich 1988 den Golden Slam?;Steffi Graf;Monica Seles;Margaret Court;Marina Hingis;1
Wie heißt die Formel 1 Rennstrecke in China?;Shanghai International Circuit;Hongkong International Circuit;International Circuit F1; China International Circuit;1
Wie heißt einerder berühmteste mexikanische Fußballer?;Hugo Sanchez;Diego Maradona;Pelé;Rafael Márquez;1
In welcher amerikanischen Stadt werden häufig Boxwettkämpfe ausgetragen?;Las Vegas;San Francisco;Dallas;Los Angeles;1
"Was gab Earvin ""Magic"" Johnson 1991 bekannt?";dass er HIV-positiv ist;seinen Wechsel zum Baseball;seine Alkoholabhängigkeit;seine Scheidung;1
"Welche Abkürzung steht für: ""Bicycle Moto Cross"" im Radsport?";BMX;BCC;BMC;MC;1
"Wie nennt man das ""Umklammern"" im Boxkampf?";Clinch;Linch;Zinsh;Finch;1
"In welchem Jahr fand in der Formel 1 ""Der große Preis von Ungarn"" zum 1. Mal statt?";1986;1988;1990;1995;1
Welcher brasilianische Formel-1 Fahrer hat oft zu Gunsten Michael Schumachers die 2. Geige gespielt?;Rubens Barrichello;Mika Hakkinen;Ayerton Senna;Jacques Villeneuve;1
"Wo liegt die Formel 1-Rennstrecke: ""Autodromo Nazionale""?";Italien;San Marino;Brasilien;Argentinien;1
