Frage;richtige Antwort; falsche Antwort; falsche Antwort; falsche Antwort; Kategorie Nummer
Wieviele Symphonien komponierte Ludwig van Beethoven?;9;10;11;8;
Wie alt wurde Wolfgang Amadeus Mozart?;35;36;75;39;
"Von wem wurden die ""4 Jahreszeiten"" komponiert?";Antonio Vivaldi;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;
Welcher österreichische Musiker schaffte es an die Spitze der Billboard Charts?;Falco;Wolfgang Ambros;Christina Stürmer;Hubert von Goisern;
Wer war kein Mitglied der Jackson 5?;Charlie Jackson;Michael Jackson;Marlon Jackson;Jermaine Jackson;
Welcher Rapper verkaufte die meisten Alben bis 2015?;Eminem;50 Cent;Lil Wayne;Jay-Z;
Welche Musikrichtung stammt nicht aus dem selben Jahrhundert?;Dubstep;Jazz;Rock;Rap;
Welcher Titel stammt nicht von den Sportfreunden Stiller?;Fußballgott;Pogo in Togo;54, '74, '90, 2006;Tage wie dieser;
Welches Lied wurde auf den Index gesetzt?;Die perfekte Welle;Durch den Monsun;Gekommen um zu bleiben;Auf uns;
Wann verstarb Udo Jürgens?;2014;2015;2004;2005;
Wie verstarb Kurt Cobain?;Kopfschuss;Autounfall;Erhängen;Schlaganfall;
Wer gewann 2014 den Eurovision Songcontest?;Conchita Wurst;Lena;Måns Zelmerlöw;Lordi;
Welcher Song stammte von Oasis?;Ruby;Wonderwall;Cigarettes & Alcohol;Go let it out;
Welches Instrument exsitiert nicht?;spanische Trompete;Fidel;Kakaki;Rute;
Wie viele Saiten hat eine Gitarre?;6;5;4;7;
Wie viele Tasten besitzt ein Klavier?;88;102;93;76;
Wo befindet sich der Ursprung des Jazz?;New Orleans;Wien;Berlin;Los Angeles;
Ein gängiger Notenschlüssel ist?;Violinschlüssel;Tromptenschlüssel;Violaschlüssel;Posauneschlüssel;
Aus welcher Band kennt man Klaus Eberhartinger als Sänger?;EAV;STS;Wanda;Austria 3;
Wer stammt ursprünglich aus dem Musikgeschäft?;Will Smith;Ashley Tisdale;Jack Black;Jared Leto;
Von wem wurden die Blues Brothers gegründet?;John Belushi und Dan Aykroyd;Kyle Gass und Jack Black;Jared Leto und Shannon Leto;Will Smith und Justin Timberlake;
Wann brachte Elton John seine erste LP heraus?;1969;1970;1979;1980;
"Wer kompinierte den Donauwalzer ""An der schönen Donau""?";Johann Strauss;Johann Sebastian Bach;Josef Strauss;Josef Lanner;
Ein bekannter Blinder Musiker heißt?;Ray Charles;Jamie Foxx;Ludwig van Beethoven;Heino;
Welches Instrument wird gewöhnlicher Weise nicht bei einem Streichquintett gespielt?;Kontrabass;Violine;Bratsche;Violoncello;
Für welche Instrumente ist Antonio Stradivari bekannt?;Violine;Gitarre;Klavier;Harfe;
Wie heiÃŸt die Band von Jack Black und Kyle Gass?;Tenacious D;Blues Brothers;30 Seconds to Mars;Foo Fighters;
"Wo wird seit Dezember 2001 das Musical ""König der Löwen"" aufgeführt?";Hamburg;Berlin;Köln;Dresden;
Wie heißt das langsamste Musikstück der Welt?;ORGAN2/ASLSP;;;;
Woraus ging der Rock'n'Roll hervor?;Rhythm & Blues;Jazz;Country;Folk;
Welcher Buchstabe kommt nicht in der Tonleiter vor?;I;F;G;H;
Eine der ersten Heavy Metal Bands war?;Black Sabbath;AC/DC;Iron Maiden;Motörhead;
In welchem Jahr verfasste Mozart sein erstes Musikstück?;1761;1764;1771;1774;
Die Klassik prägte welche Jahrhunderte?;18./19. Jhd;19./20. Jhd;17./18. Jhd.;16./17. Jhd;
Wo entstand das älteste notierte Lied?;Syrien;Deutschland;Frankreich;Südafrika;
Wer nahm nicht am Woodstock-Festival teil?;The Shadows;jimi Hendrix;The Who;Joe Cocker;
Wer starb nicht durch eine Drogenüberdosis oder Alkoholvergiftung?;Jim Morrison;Amy Winehouse;Jimi Hendrix;Whitney Houston;
Welcher Musikstück ist eine Oper?;Der Barbier von Sevilla;Für Elise;Ave Maria;Fantaisie-Impromptu;
Wer war ein bekannter Minnesänger?;Walther von der Vogelweide;Walther von der Kuhweide;Walther von der Schafweide;Walther von der Weide;
Woher kommen die Beatles?;Liverpool;London;Manchester;Brigthon;
Welche Band kommt nicht aus Manchester?;The Rolling Stones;Oasis;Take That;The Chemical Brothers;
Welcher Instrument erfreute sich im Mittelalter großer Beliebtheit?;Laute;Gitarre;Harfe;Cembalo;
Wer leitet ein Orchester?;Dirigent;Stabführer;Chorleitung;Komponist;
"Wie bezeichnet man die Oktave unterhalb der ""Großen Oktave""?";Kontra-Oktave;Kleine Oktave;Eingestrichene Oktave;Mittlere Oktave;
Wo verstarb Wilhelm Richard Wagner?;Venedig;Wien;Leipzig;Salzburg;
"Wer interpretierte das bekannte Lied ""Hotel California""?";Eagles;Nirvana;Beach Boys;Led Zeppelin;
Wodurch wird Rap geprägt?;Sprachgesang;Klassische Instrumente;Elektronische Beats;Stimmverzerrung;
Die erfolgreichste noch aktive Deutsche Band im Ausland heiÃŸt?;Scorpions;Scooter;Tokio Hotel;Rammstein;
Ein Lied von Dieter Bohlen heißt?;Jung und frei;Männer;Über den Wolken;Griechischer Wein;
