Wer ist Darth Vader?;Anakin Skywalker;Obi-Wan Kenobi;Senator Palpatine;Jabba the Hutt;
Die zweite Persönlichkeit von Smeagol?;Gollum;Hodor;Voldemort;Darth Maul;
Wo spielt Game of Thrones?;Westeros;Westaros;Azeroth;Mittelerde;
Wie heißt Barbossa mit Vornamen?;Hector;Wolfgang;Frank;Victor;
Wieso meldet sich Katniss freiwillig als Tribut?;Wegen Schwester;Aus Spaß;Wette verloren;Tötet gerne;
Wer ist der Bösewicht in Aladdin?;Djafar;Mohamed;Recep;Hasan;
Wie heißt die Familie aus "Eine schrecklich nette Familie"?;Bundy;Heffernan;Dorian;Cooper;
Wie heißen die Beiden Hauptfiguren in King of Queens?;Carrie & Douglas;Penny & Leonard;Marge & Homer;Carla & Turk;
Als was wird Sheldon Cooper aus The Big Bang Theory bezeichnet?;Verrückt;Paranoid;Intelligent;Komisch;
Was läuft nicht auf Pro7?;DSDS;How I met your mother;Family Guy;The Simpsons;
Welches Schmerzmittel nimmt Gregory House?;Vicotin;Nikotin;Parkemed;Morphium;
Wer spielt in der Serie O.C. California Marissa?;Mischa Barton;Sarah Chalke;Rachel Bilson;Keira Knightley;
Wer stirbt in der Serie O.C. California?;Marissa;Carrie;Penny;Elliot;
Welche Schauspielerin spielte Elizabeth Swann in Fluch der Karibik?;Keira Knightley;Penelope Cruz;Salma Hayek;Jennifer Lawrence;
Wer spielte Legolas in Herr der Ringe?;Orlando Bloom;Johnny Depp;Viggo Mortensen;Eliah Wood;
Wer spielte Sophie in dem Film Mamma Mia?;Meryl Streep;Penelope Cruz;Mamie Gummer;Resi Berghammer;
Aus welcher Serie kennt man Crusty den Clown?;The Simpsons; Family Guy;Futurama;Drawn Together;
Wie nennt man Gandalf bevor er gegen den Balrog kämpft?;Der Graue;Der Braune;Der Weiße;Streicher;
Wer ist nicht mit Sirius Black verwandt?;Arthur Weasley;Harry Potter;Bellatrix Lestrange;Draco Malfoy;
Um welches Schiff streiten sich die Kapitäne Jack Sparrow und Hector Barbossa?;Black Pearl;Flying Dutchman;Interceptor;Titanic;
Wer wurde nicht von Darth Vader getötet?;Han Solo;Obi-Wan Kenobi;Count Dooku;Darth Sidious;
Wie hieß der Hund der Kinderserie 5 Freunde?;Timmy;Idefix;Strolchi;Rex;
Wie heißt das Schanbeltier aus Phineas and Ferb?;Perry;Timon;Harry;Mary;
Wie heißt die Serie: Alles was ......?;zählt;bellt;wählt;hält;
Wer hat keinen Doktortitel;Howard;Leonard;Sheldon;Rajesh;
Ted Mosby zitiert gerne:;Juda;Neruda;Permuda;Gouda;
Wie heißt Spongebobs Hausschnecke?;Gerry;Larry;Perry;Franz;
Welche Katze ist gleichzeitig Tod oder Lebendig?;Schrödingers;Susis;Simons;Sheldons;
Warum funktioniert der Fahrstuhl in The Big Bang Theory nicht?;Wurde gesprengt;Hat nie funktioniert;Howards Mum war darin;Ist Attrappe;
Auf welchem Programm kommt öfters mal Musik?;Viva;Pro7;ZDF;Dmax;
Wer ist in Timmy Turner verliebt?;Trudy;Vicky;Wanda;Trixie;
Wie heißt Ariana Grande bei Victorias?;Cat;Mouse;Dog;Frog;
Auf welchem Sender läuft Typisch Andi?;Super RTL;Kika;Nickelodeon;VOX;
Von wo stammt das Lied "Love me like you do"?;Shades of Grey;Fluch der Karibik;Verbotene Liebe;Niewieder Sex mit der Ex;
Wie heißt die Babysitterin von Timmy Turner?;Vicky;Barbara;Monika;Laura;
Wie heißt die Schauspielerin des Süßwarenmädchen aus der Serie Zack & Cody?;Ashley Tisdale;Keira Knightley;Mischa Barton;Angela Lansbury;
Wie heißt die Eule von Harry Potter?;Hedwig;Hildegard;Rufus;Hermine;
Wie heißt einer der Power Ranger?;Trini Kwan;Thor;Zordon;Alpha 5;
Wie heißt der Hund von Hagrid aus Harry Potter?;Fluffy;Hedwig;Krummbein;Krätze;
Wie heißt die Hauptdarstellerin von Mord ist ihr Hobby?;Angela Lanbury;Holland Taylor;Meryl Streep;Helene Fischer;
Wie heißt der Bösewicht von Herr der Ringe?;Sauron;Aragorn;Gimli;Legolas;
Wie heißt der Bösewicht in Harry Potter?;Voldemort;Ronald;Dumbledore;Hodor;
Worum geht es in Herr der Ringe?;Ring;Narnia;Thron;Umweltschutz;
Wie heißt ein Teil von Herr der Ringe?;Die Gefährten;Die Wanderung;Die Reise;Der mit dem roten Stuhl;
Was fehlt Voldemort?;Nase;Ohren;Fuß;Hand;
Wie viele Filme sind aus Herr der Ringe und Hobbit entstanden?;6;3;1;10;
Wer spielt Thyrion in Game of Thrones?;Peter Dinklage;Peter Mellark;Peter Griffin;Peter Parker;
Zitat: Die Typen in der Chirurgie nennen das Arschkiste?;Scrubs;Emergency Room;Greys Anatomy;The Black Code;
Zitat: Wir sollten eine Bar aufmachen?;How I met your mother;Two and a half men;The Simpsons;The Big Bang Theory;
Wer war der Nachfolger von Charlie Sheen bei Two and a half men?;Ashton Kutcher;Ottfried Fischer;Zach Galifianakis;Mike Myers;
