Was ist keine Programmiersprache?;PDF;JAVA;C;C++;6
Um welches Metall handelt es sich bei AU?;Gold;Silber;Bronze;Kupfer;6
Wofür steht HD in Bezug zu Bildschirmen?;High Definition;High Danger;High Developed;Hard Drive;6
Was ist kein chemisches Element?;Londinium;Californium;Samarium;Europium;6
Wieviele Protone besitzt ein einfaches Wasserstoffatom?;1;2;3;4;6
In welchem Jahr erfand Edison die Glühbirne?;1879;1789;1987;1903;6
In welcher Einheit misst man Stromstärke?;Ampere;Watt;Volt;Ohm;6
Wobei handelt es sich bei einem FI-Schalter?;Fehlerstrom-Schutzschalter;Finanzamt-Schalter;Finnischer-Schalter;Ein-Aus-Schalter;6
In welchem Jahr wurden Streichhölzer erfunden?;1826;1770;1854;1926;6
Welches Element passt nicht dazu?;Wasserstoff;Neon;Helium;Krypton;6
Welche Pflanze passt nicht dazu?;Bergamotte;Bilsenkraut;Einbeere;Stechapfel;6
Wobei handelt es sich um keinen Einteilungsart der Verbrennungsmotoren?;Z-Takt;Y-Takt;W-Takt;V-Takt;6
In welchem Jahr wurde das Auto erfunden?;1886;1887;1888;1889;6
Welche Theorie stammt von Albert Einstein?;Relativitätstheorie;Stringtheorie;Spieltheorie;Quantenfeldtheorie;6
Wofür ist Newton bekannt?;Gravitationsgesetz;Stringtheorie;Penicilin;Bedeutungstheorie;6
"Wozu wird das sogenannte ""Fracking"" benutzt?";Erölförderung;Goldgewinnung;Diamandenabbau;Plastikherstellung;6
In welcher Einheit wird Temperatur gemessen?;Kelvin;Kevin;Kerstin;Klestil;6
Womit misst man Luftdruck?;Barometer;Thermometer;Hygometer;Meterband;6
RGB steht für welche Farben?;Rot-Grün-Blau;Rot-Gelb-Blau;Rot-Grün-Braun;Rosa-Grün-Blau;6
In welchem Jahr wurde das Handy erfunden?;1973;1983;1993;2003;6
Das erste Tablet wurde von wem erfunden?;Xerox;Apple;Microsoft;IBM;6
Von wem wurde der neue Buchdruck erfunden?;Johannes Gutenberg;Leonardo da Vinci;Galileo Galilei;Peter Henlein;6
Was wurde nicht im selben Jahrhundert erfunden?;Autoreifen;Motorflugzeug;Teddybär;Teebeutel;6
Wie lange benötigt die Erde für das Umkreisen der Sonne?;365 Tage;30 Tage;1 Tag;12 Stunden;6
Wofür wird Pi benötigt?;Berechnung des Kreisumfanges;Wurzel aus -1;Berechnung des Umfanges eines Vierecks;Beim Satz des Pythagoras;6
Die graphische Oberfläche für PCs wurde erfunden von?;Xerox;Apple;Microsoft;IBM;6
Die Eulersche Zahl beginnt mit?;2,718;3,141;2,817;3,151;6
Der absolute Nullpunkt liegt bei wie viele Grad Kelvin?;0;-273,15;100;-17,8;6
"Die imaginäre Zahl ""i"" erhält man durch?";Wurzel aus -1; -1 zum Quadrat ;Division durch -1;Multiplikation mit -1;6
Wen oder was versteht man mit Linux?;Betriebssystem;Erfinder von Computer;Computerhersteller;Spieleproduzent;6
Von wem stammt die Evolutionstheorie?;Charles Darwin;John Dalton;Robert Hooke;James Watt;6
Wofür steht http?;Hypertext Transfer Protocol;Hard Token Transfer Protocol;Hyper-Threading Transfer Protocol;Hard Token Third Party;6
Wodurch können Schiffe nicht angetrieben werden?;Wasserkraft;Atomenergie;Dampfmaschine;Verbrennungsmotor;6
Bei wieviel Grad Celcius liegt der Gefrierpunkt von Alkohol?;-114,5;0,5;-273,2;100;6
Wofür soll Lemmium stehen?;Einem Chemischem Element;Einer Festplatte;Einem Computer;Einer römischen Stadt;6
Wofür steht in Zusammenhang mit Computern GB?;Gigabyte;Gigabit;Gigabase;Giant Bomb;6
Ab welcher Höhe befinden sich Satelliten?;200km;2000 km;1000 km;10000 km;6
Wobei handelt es sich um keinen Entwicklungszustand eines Sternes?;Blauer Zwerg;Weißer Zwerg;Roter Riese;Überriese;6
"Wie groß ist die Schwerkraft auf der Erde?							";9,81 m/s^2;12,53 m/s^2;9,18 m/s^2;12,35 m/s^2;6
Aus welchem Land kommt das Schießpulver ursprünglich?;China;USA;Sudan;Deutschland;6
Welcher Zahlensystem wird in Europa hauptsächlich benutzt?;Arabische;Römische;Gregorianische;Amerikanische;6
"Welches Unternehmen führte Steve Jobs abgesehen von Apple?	";Disney Pixar;Microsoft;IBM;Dreamworld;6
In welchem Jahr wurde das Betriebssystem Windows 10 von Microsoft veröffentlicht?;2015;2014;2013;2016;6
"Wofür wurde CERN von gegründet?							";physikalische Grundlagenforschung;chemische Grundlagenforschung;biologische Grundlagenforschung;astronomische Grundlagenforschung;6
"Welches Metall schützt vor Röntgen-Strahlung?	";Blei;Goldgewinnung;Silber;Bronze;6
In welchem dieser Stoffe breitet sich unter Normalbedingungen am langsamsten aus?;Luft;Wasser;Aluminium;Chlorophorm;6
Welche der folgenden Einheiten ist keine SI-Einheit?;Bar;Kilogramm;Ampere;Meter;6
Welche Geschwindigkeit entspricht der Lichtgeschwindigkeit?;299 792 458 m/s;299 792 m/s;299 792 458 km/h;299 792 km/h;6
Von wem stammt die Formel E = m * c^2?;Albert Einstein;Stephen Hawking;Werner Heisenberg;Erwin Schrödinger;6
Was entspricht 1 Meter?;100 cm;10 cm;1000 cm;100mm;6
